den_determiners,den_function_words,den_light_verbs,den_nouns,den_phones_utt_max,den_words_utt_p90,den_words_utt_q1,dys_fillers_per_word,dys_long_pauses_per_min,dys_long_pauses_per_word,dys_pauses_per_min,dys_short_pauses_per_min,lex_ttr
5.358637778848257,0.0,0.0,3.653172416345253,1.533789061996158,2.481895210894043,0.0,2.7009741977819774,1.476284719054188,2.2503117484857253,1.4920488523723785,1.36930875759057,4.305334603381627
4.131867281263362,0.0,0.0,2.9829455628013717,0.9959542150720634,2.0151310806247684,0.0,6.287550814982244,0.9997206803157904,1.728818504158643,0.8937697358220861,0.7306396275537068,0.9018013826029649
2.040235512583683,-1.7220865380676287,0.0,2.0881020300830984,2.6683281184486978,2.059822619693386,0.0,8.738076813601147,0.9517976763672754,0.0,0.9348336814059528,0.700596752095153,-3.731717382248178
0.0,2.919294878416776,0.8428581535938852,0.7602004633758606,2.262420743490147,1.9313224697568874,0.0,4.054546035719135,0.6832466624359058,0.702787947876404,0.7414625853747057,0.5646104577779507,0.0
8.180298903369938,5.131573871218832,1.1763758758491971,1.707623576651888,0.0,0.0,-2.041806005101634,0.0,1.3293458588138847,1.5812205788489628,1.4246279372903023,1.2302557236256528,5.339582736067856
5.311141205724543,8.775674649087383,1.6270830245713745,0.0,1.3813834452391875,1.2482156538531106,0.0,2.1571863476100805,0.9526250209636163,0.0,0.9622337500416009,0.8757591581074387,2.7367795407945135
1.6372274650488123,0.0,0.8140268805967413,0.0,3.32014249749333,1.7476446568558608,0.0,-3.275579636826599,0.568378474357369,0.7590684168275393,0.5702978466897484,0.5455554163834788,-4.243597880357447
3.349846183936278,6.853338718282453,0.7940586190308598,0.0,1.6057395153976115,0.9941154229014074,0.0,7.0771181979391,0.7510479314168638,0.0,0.5621230838218132,0.5643301802975004,1.6907550892465242
4.033954056548055,4.1727053557357765,0.0,0.7608124491743524,1.8368547821647843,2.239352065029034,1.1433673571867167,0.0,1.374658507977775,0.0,1.332081253688541,1.1758534928726576,7.572943441570908
0.0,0.0,-2.6316743298658767,3.101181274256178,0.9418561314934019,1.6296914605204595,0.0,2.6975088239113907,0.7487496736132567,1.1877667298706729,0.6380013222835802,0.49795300770849704,-7.230663645472573
1.1054693731744993,0.0,1.2983746206090734,-3.201676192398444,2.508850127917626,1.5977125048258425,-1.7958473545786908,0.0,0.7067004078172832,0.8832889562722468,0.799654246641042,0.0,-1.9698028610413276
3.014067836650498,5.338191736195813,0.0,1.309159278163411,0.37479437711073516,2.339866450024705,0.0,5.627846785908215,0.7040794649188898,0.0,0.725096515808086,0.8065807949650599,-5.204497047417711
3.8551522782099203,3.5575783349202506,1.0517469128511812,0.0,2.3167256205672815,1.4929720903586892,0.0,4.83275711009785,0.8976714436091634,0.0,1.0599416206033383,0.7555481218200076,-2.7463609501621775
0.0,0.0,1.7952684679194069,3.836627174479645,1.5204352626479138,2.1450985657632633,1.4762253372218574,0.0,0.8341523428446624,1.483708066048084,1.0034180413537213,0.8683026358219265,0.3053304055631525
3.072333733676871,4.15170613647508,1.5820388068662399,2.2896188275110823,0.0,1.4770786878222673,1.7195164860936325,0.0,1.92138162945666,0.0,1.7928577984193423,1.5863536294471774,6.569716085081366
-7.888928831829293,-3.7843395795877477,0.0,2.389400686258514,-2.226569132074006,-1.7286124671471486,1.1388385270364005,-2.623935535829658,0.0,1.3023520884130741,0.42904739838333583,0.0,-3.9849410633482965
5.716626002064205,0.0,0.206913536060906,2.7850830531774866,0.0,0.0,0.8515908735764123,-1.8359841429723553,0.6282297964780434,1.0870267205444215,0.8549241172080876,0.8197228497053508,1.5291284800677285
1.6352606218836077,-4.131254517553534,1.1171822935333546,-1.7973949615681342,3.06080905358845,1.219457690458452,-1.342757147372289,1.3028970837689609,0.0,0.0,0.0,0.7997317181564636,-4.01757936711239
0.8458769178808483,-3.979777276413015,0.0,-6.092084314734719,1.0922466147142618,1.3448192442341564,-2.341183633662782,0.0,0.652642797813319,1.320199218309404,0.7131695892511717,0.596574766098418,0.0
-2.295550134299958,-3.856028503625424,0.0,2.890792013276449,0.0,0.6125601231920986,0.0,4.217403085052674,0.789127543966796,0.5625565156247174,0.6747027111036961,0.5384478162557172,-5.611893041182635
-6.265882007189706,-2.8900551100411613,-2.1349316725101533,0.0,-2.4156580013897933,-1.1668241600262204,0.0,-1.8138582311539733,-0.10846758955952396,-0.7539421933320289,-0.19834528557700806,0.0,2.8263340554033034
-6.2590673162205634,-1.9066254366276514,-1.8932539738413838,-0.22336085064397437,-2.2728018233382263,-1.040812510114349,0.0,-1.8307591323047943,-0.22185329167924608,0.0,-0.3147099818488576,0.0,-1.3027517864461367
0.0,-4.191776661796581,-0.42940019277976327,0.0,-1.8150384467861864,0.0,0.30297718275768476,-3.170458041634891,0.658301266743681,1.303015425144066,0.7157946316247392,0.6939837825030416,6.658556501438129
-0.2991883480879006,-4.551830388153518,-0.45224575301366604,-0.18470227661692284,-1.7511286108467177,0.0,0.0,-4.280820428521891,0.570159806936497,1.1985391986126663,0.5337213231329452,0.48637790740688197,0.0
0.0,-4.936421535338931,1.033929740692004,1.6607279954603102,0.0,1.105125819954399,1.6682777050006912,-2.186149941602734,1.0662482104802553,0.0,0.9888176499265167,0.7594754117129057,1.6794387558197756
0.0,6.582596928044579,0.0,1.7231945423642157,1.7828885700690051,2.36654393353528,0.5909875564297806,1.4717661322674715,0.8701005371118985,1.3547187436042136,0.9251238515214574,0.8464439375473514,0.0
