FEATURES (SFS)
======================================================================
Total: 13

DEN (7):
  - den_determiners
  - den_function_words
  - den_light_verbs
  - den_nouns
  - den_phones_utt_max
  - den_words_utt_p90
  - den_words_utt_q1

DYS (5):
  - dys_fillers_per_word
  - dys_long_pauses_per_min
  - dys_long_pauses_per_word
  - dys_pauses_per_min
  - dys_short_pauses_per_min

LEX (1):
  - lex_ttr

POSLM (0):
