feature,importance_mean,importance_std
lex_ttr,3.008808013753003,0.24397230264019135
den_determiners,2.6836223275134232,0.21855036552787188
den_function_words,2.412219604618772,0.15606961834025038
dys_fillers_per_word,2.089547287231642,0.15263966162243683
den_nouns,1.8274732059357994,0.21598988197692257
den_words_utt_q1,1.3352833860023066,0.13645114093681912
den_words_utt_p90,1.3018943966958578,0.1413876575128873
dys_pauses_per_min,1.1893772090699435,0.15210115973485253
dys_long_pauses_per_min,1.1836820010552067,0.177283978378523
den_phones_utt_max,1.1395010290173375,0.14807559266365036
dys_short_pauses_per_min,1.1249703575941834,0.11010458005020615
dys_long_pauses_per_word,1.0432217403795199,0.1146641176469539
den_light_verbs,0.9903170940069179,0.12871128045428204
