fold,mae,n_trials,num_leaves,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
1,11.874973807447073,50,64,0.029987127924801987,272,21,0.7106640209685551,0.6436527204524957,4.470168157719058e-06,4.1749152100471845
2,12.750301740378834,50,73,0.046476191061333334,298,35,0.7761042079978071,0.7051978334426892,4.462459338217269e-08,0.00021834088501100496
3,12.633637240962655,50,94,0.06006100287958099,270,10,0.6646700594590177,0.7534216998371411,3.09636244854352e-08,1.04859770105928e-05
4,11.643660962870683,50,50,0.0825090670563093,102,14,0.7870141182390775,0.894309529692765,0.3474018307963139,9.30533312811905e-08
