feature,importance_mean,importance_std
lex_phones_std,2.6118456991462256,0.12111015138315076
den_determiners,2.525187800296739,0.15305079132029029
dys_long_pauses_per_min,1.7581249694471552,0.19998965151596135
dys_pauses_per_min,1.3145703467793033,0.13825141324163626
dys_fillers_per_min,1.3088929846805826,0.13853296080685637
lex_ttr,1.0294340262360688,0.06925520721927135
poslm_bo_bigram_ce_mean,0.8558862148151098,0.07219545832441042
dys_fillers_per_phone,0.6981389283544874,0.08491664707804072
den_function_words,0.5414174151372083,0.052872182299201466
den_prepositions,0.5402397864827577,0.06406461683459949
dys_pause_sec_max,0.5077404977740665,0.029454510119377747
dys_pause_sec_skew,0.43358238495807216,0.06126647264311793
den_phones_utt_std,0.41030373519307856,0.04869482430255551
lex_phones_skew,0.33727395710923525,0.06307272280523858
den_noun_ratio,0.3079572980375883,0.04606033367258057
den_phones_utt_skew,0.28673439637896747,0.03517865098949941
den_verbs,0.2745218952844331,0.0216899078364951
den_OCW,0.25725719330040925,0.03610710189113917
dys_pause_sec_mad,0.22868647554951912,0.02582576665579017
den_phones_per_min,0.2276364542668139,0.02796533473735104
lex_phones_mean,0.22039015142282556,0.027867647430752398
den_nouns,0.20804696837141812,0.019824935443277316
den_words_per_min,0.19377954453904014,0.02097626749636353
dys_pause_sec_p90,0.1907786119911738,0.023002868326357232
den_adjectives,0.18513389113376721,0.028140998408453785
dys_short_pauses_per_min,0.18003454743312047,0.022498138412457836
den_pronoun_ratio,0.15520048659091118,0.01491023478190942
poslm_bo_trigram_ce_mean,0.15332097181543053,0.019355268937130188
den_phones_utt_median,0.12735851819857763,0.01930999777422011
dys_pause_sec_q3,0.10782707556028041,0.015945146951542116
den_W,0.09106098013840809,0.016267876988772335
den_adverbs,0.08214856832927868,0.010198105055880743
poslm_bo_bigram_ce_min,0.08053799417796297,0.011558486433701708
den_nouns_per_verb,0.0710391392160453,0.02055627216500372
lex_phones_kurt,0.06800449052655591,0.01337129130882243
dys_pause_sec_kurt,0.06039902733219007,0.010607479054191063
den_phones_utt_iqr,0.058149194579557494,0.011301298839593221
den_light_verbs,0.05614518439537566,0.013595733710825916
den_phones_utt_q1,0.05370096164394358,0.012436545675154941
dys_pause_sec_p10,0.05062617400173188,0.010342135325781081
dys_pause_sec_std,0.045732409871971226,0.011859258335584688
dys_pauses_per_word,0.03979907625531522,0.007509951874003226
den_words_utt_kurt,0.0386826267071612,0.005261803754259305
den_words_utt_skew,0.03596927789005751,0.007226572335729673
den_phones_utt_max,0.03573900661270022,0.003169549649286965
dys_pause_sec_min,0.029844804773509814,0.007999300339658533
den_words_utt_p10,0.028477883262425153,0.004544950539768495
dys_pause_sec_median,0.022618236852984717,0.00652398111462903
den_words_utt_std,0.02049340573398064,0.005478793271321892
den_phones_utt_mean,0.019247270654451577,0.0042819660365641605
den_phones_utt_q3,0.018620939701110208,0.0036017103904282064
poslm_bo_bigram_ce_q1,0.017212863338438123,0.006825336642686853
den_phones_utt_kurt,0.01709563391333857,0.00440008772363098
den_words_utt_iqr,0.016645247188047385,0.007917570300438189
dys_long_pauses_per_word,0.015780235198467985,0.003947113682537824
den_phones_utt_p10,0.015653179589865653,0.0072004152755227955
dys_short_pauses_per_word,0.014063572171348593,0.002792387098766351
den_words_utt_q1,0.013025877009803821,0.003518720855836126
dys_pause_sec_iqr,0.010105481116223381,0.0028306153455250125
dys_pause_sec_mean,0.009078792130322899,0.004573865133708303
den_phones_utt_p90,0.005813259544714899,0.00359383060167234
lex_phones_max,0.005676998638383423,0.004541357669085735
lex_phones_iqr,0.004295843730611893,0.0027408566393390473
den_words_utt_median,0.003268180353958083,0.0024300167556952504
den_words_utt_mean,0.0024522356499862676,0.0012522305587894008
lex_phones_p10,0.0024039139629418393,0.0017740542694485329
den_words_utt_max,0.00019017175577733524,0.0016062265340710817
den_demonstratives,0.0,0.0
den_words_utt_p90,0.0,0.0
den_words_utt_q3,0.0,0.0
den_words_utt_mad,0.0,0.0
den_words_utt_min,0.0,0.0
den_phones_utt_min,0.0,0.0
den_phones_utt_mad,0.0,0.0
dys_pause_sec_q1,0.0,0.0
dys_fillers_per_word,0.0,0.0
lex_phones_q3,0.0,0.0
lex_phones_q1,0.0,0.0
lex_phones_p90,0.0,0.0
lex_phones_min,0.0,0.0
lex_phones_median,0.0,0.0
lex_phones_mad,0.0,0.0
poslm_bo_bigram_ce_median,0.0,0.0
poslm_bo_bigram_ce_std,0.0,0.0
poslm_bo_bigram_ce_max,0.0,0.0
poslm_bo_bigram_ce_iqr,0.0,0.0
poslm_bo_bigram_ce_p1,0.0,0.0
poslm_bo_bigram_ce_p99,0.0,0.0
poslm_bo_bigram_ce_range_p1_p99,0.0,0.0
poslm_bo_bigram_ce_skewness,0.0,0.0
poslm_bo_bigram_ce_kurtosis,0.0,0.0
poslm_bo_bigram_ce_q3,0.0,0.0
poslm_bo_bigram_ppl_mean,0.0,0.0
poslm_bo_bigram_ppl_median,0.0,0.0
poslm_bo_trigram_ce_std,0.0,0.0
poslm_bo_trigram_ce_min,0.0,0.0
