,precision,recall,f1-score,support
Very Severe,0.8888888888888888,0.18181818181818182,0.3018867924528302,44.0
Severe,0.25,0.3090909090909091,0.2764227642276423,55.0
Moderate,0.5175438596491229,0.7564102564102564,0.6145833333333334,156.0
Mild,0.8157894736842105,0.5670731707317073,0.6690647482014388,164.0
accuracy,0.5632458233890215,0.5632458233890215,0.5632458233890215,0.5632458233890215
macro avg,0.6180555555555556,0.4535981295127637,0.46548940955381113,419.0
weighted avg,0.6381561501207275,0.5632458233890215,0.5586823140942263,419.0
