group,sum,mean,count
DYS,11.192937961841372,0.508769907356426,22
DEN,5.958320358081451,0.14186477043051074,42
LEX,4.89286830462196,0.3494905931872828,14
POSLM,1.1299649968667722,0.037665499895559076,30
