Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,121,2.5679004414860094,1.6425331880790652,69.38925619834711,16.135310089309225
High Errors,298,15.13926061259846,9.391719921462023,61.64093959731544,25.89858386277178
