,precision,recall,f1-score,support
Very Severe,0.7142857142857143,0.11363636363636363,0.19607843137254902,44.0
Severe,0.29310344827586204,0.3090909090909091,0.3008849557522124,55.0
Moderate,0.532258064516129,0.6346153846153846,0.5789473684210527,156.0
Mild,0.7321428571428571,0.75,0.7409638554216867,164.0
accuracy,0.5823389021479713,0.5823389021479713,0.5823389021479713,0.5823389021479713
macro avg,0.5679475210551406,0.45183566433566436,0.45421865274187523,419.0
weighted avg,0.59821705899687,0.5823389021479713,0.5656562895217296,419.0
