mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.047887325286865234,0.029936266670743762,0.03467741012573242,0.023056947354905665,0.1,0.01,scale,rbf,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-21.249662039849085,-24.873110671105174,-13.240774274364398,-14.308059533050058,-22.07116126824755,-19.148553557323254,4.561997047158837,46
0.028615522384643554,0.014874712591406315,0.03771820068359375,0.008184387400650663,0.1,0.01,auto,rbf,True,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-21.16485089169641,-24.87869496635659,-13.2319444192876,-14.293978656391724,-22.054603945312113,-19.124814575808887,4.558847394473163,44
0.04219098091125488,0.03093397612002859,0.033879852294921874,0.024603829105864814,0.1,0.1,scale,rbf,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-21.23429101561069,-24.869916764695397,-13.241899820046354,-14.315131100598693,-22.058556814244493,-19.143959103039126,4.556376677209048,45
0.03482069969177246,0.01673865098112534,0.04388175010681152,0.01127408819728268,0.1,0.1,auto,rbf,True,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-21.164850891696403,-24.880569175767427,-13.234827154344872,-14.297375907625574,-22.045267459937335,-19.12457811787432,4.556657105247486,43
0.04145703315734863,0.022294169200547293,0.030266523361206055,0.007826120908926898,0.1,1.0,scale,rbf,True,"{'C': 0.1, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-21.348438408550763,-24.778748256279293,-13.273973956236832,-14.332709520736321,-21.64794509397195,-19.07636304715503,4.482466412271775,42
0.032653188705444335,0.012286722559156908,0.02152872085571289,0.013585770935747464,0.1,1.0,auto,rbf,True,"{'C': 0.1, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-21.27381144923888,-24.780379862627253,-13.26253293537551,-14.329671415351966,-21.628150427241888,-19.0549092179671,4.476731102630818,41
0.03184866905212402,0.012023742207186895,0.019408226013183594,0.014755447511887532,0.1,5.0,scale,rbf,True,"{'C': 0.1, 'epsilon': 5, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-21.347239482027632,-25.07847878132163,-13.306436786783085,-14.257209754500478,-22.086333497103105,-19.215139660347187,4.618705185324955,47
0.02980051040649414,0.016509184464842553,0.022415542602539064,0.00523901960396843,0.1,5.0,auto,rbf,True,"{'C': 0.1, 'epsilon': 5, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-21.42932583386705,-25.088498417698553,-13.29688380384907,-14.251519151765363,-22.073556719451926,-19.22795678532639,4.631025180887449,48
0.029627895355224608,0.012419852777643247,0.020302200317382814,0.007492228687580065,0.1,10.0,scale,rbf,True,"{'C': 0.1, 'epsilon': 10, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-21.169911295875927,-25.228051317106765,-13.371853677528799,-14.340457366450474,-22.671587275115016,-19.356372186415395,4.684656962127132,50
0.02090792655944824,0.005705240536588081,0.02429089546203613,0.00906546752109571,0.1,10.0,auto,rbf,True,"{'C': 0.1, 'epsilon': 10, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-21.18013746069097,-25.23328747256919,-13.362730123167323,-14.331241819200462,-22.657525186258436,-19.352984412377275,4.689082792816351,49
0.050255632400512694,0.022557382280077386,0.01964716911315918,0.008524117862739313,1.0,0.01,scale,rbf,True,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-18.31379022446656,-20.289502744039183,-11.726543849974762,-10.709887944069692,-15.522829245899198,-15.312510801689879,3.684173094849048,28
0.04252071380615234,0.014377042905823187,0.03082561492919922,0.01232073942240748,1.0,0.01,auto,rbf,True,"{'C': 1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-18.13510646382326,-20.30668273435673,-11.711672239386752,-10.704264624786376,-15.545370213745922,-15.280619255219808,3.6649668182876733,26
0.03520665168762207,0.009142969888890249,0.02695183753967285,0.008799845077325534,1.0,0.1,scale,rbf,True,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-18.29777054633025,-20.270796406239906,-11.743609895251355,-10.727338937982791,-15.520818257515959,-15.312066808664051,3.6688040991437756,27
0.05198159217834473,0.013136786840217414,0.028701353073120116,0.0027614387865364,1.0,0.1,auto,rbf,True,"{'C': 1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",-18.130100824855692,-20.286439672442146,-11.722984455780027,-10.709803385771464,-15.542503225531663,-15.278366312876198,3.6550092798492493,25
0.028210544586181642,0.009151382113036934,0.024595022201538086,0.010433796842722031,1.0,1.0,scale,rbf,True,"{'C': 1, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",-18.192492727630334,-20.223646524266538,-11.743922510551284,-10.76472148345417,-15.369248348304827,-15.258806318841431,3.628210532640804,23
