Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,126,2.6647489021599537,1.5855596126627647,66.58730158730158,16.907338427989455
High Errors,293,16.740644114890934,12.672344738173159,62.7136518771331,26.07471578727835
