,precision,recall,f1-score,support
Very Severe,0.8571428571428571,0.13636363636363635,0.23529411764705882,44.0
Severe,0.2903225806451613,0.32727272727272727,0.3076923076923077,55.0
Moderate,0.5303030303030303,0.6730769230769231,0.5932203389830508,156.0
Mild,0.7368421052631579,0.6829268292682927,0.7088607594936709,164.0
accuracy,0.5751789976133651,0.5751789976133651,0.5751789976133651,0.5751789976133651
macro avg,0.6036526433385516,0.4549100289953949,0.4612668809540221,419.0
weighted avg,0.6139651685923633,0.5751789976133651,0.5634166003290345,419.0
