Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,116,2.646754521068667,1.433046794730995,67.88534482758621,14.917284896193319
High Errors,303,16.010246904119015,10.565186017529705,62.34455445544554,26.210619904126375
