,precision,recall,f1-score,support
Very Severe,0.9,0.20454545454545456,0.3333333333333333,44.0
Severe,0.3125,0.36363636363636365,0.33613445378151263,55.0
Moderate,0.547486033519553,0.6282051282051282,0.5850746268656717,156.0
Mild,0.7228915662650602,0.7317073170731707,0.7272727272727273,164.0
accuracy,0.5894988066825776,0.5894988066825776,0.5894988066825776,0.5894988066825776
macro avg,0.6207193999461533,0.4820235658650293,0.49545378531331125,419.0
weighted avg,0.6223139334045827,0.5894988066825776,0.581619166320816,419.0
