mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__kernel,param_svr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.008217573165893555,0.001891959101071121,0.0028645992279052734,5.872482402831814e-05,1,0.1,rbf,True,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-12.461912828962314,-11.73388918808176,-15.12726454226249,-12.391303934947636,-12.92859262356355,1.3007635902068184,23,-12.323363921354327,-12.596023271548862,-11.481288245554898,-12.360733740219775,-12.190352294669466,0.42251115282622875
0.0071707963943481445,0.00020828251027580206,0.0028453469276428223,5.9794689237983334e-05,1,0.1,rbf,False,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-12.461912828962314,-11.73388918808176,-15.12726454226249,-12.391303934947636,-12.92859262356355,1.3007635902068184,23,-12.323363921354327,-12.596023271548862,-11.481288245554898,-12.360733740219775,-12.190352294669466,0.42251115282622875
0.024054884910583496,0.00495888576710041,0.0014432072639465332,3.151609331128091e-05,1,0.1,linear,True,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-9.227948465924698,-9.595042769833196,-9.941847168456002,-11.160237522650641,-9.981268981716134,0.7259792328523726,8,-6.513379142164769,-6.455852140334885,-6.410494670239424,-6.056986831834236,-6.359178196143329,0.17823915423953937
0.05873465538024902,0.012830866468765393,0.0014258623123168945,7.987022399902344e-06,1,0.1,linear,False,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-9.227988219620373,-9.594917550220421,-9.941847168456006,-11.160207699918429,-9.981240159553808,0.7259734692942771,7,-6.51333935612602,-6.45585631825608,-6.410494670239425,-6.05699462036232,-6.359171241245961,0.17822781512324792
0.006776154041290283,5.818936835387361e-05,0.0027483105659484863,4.1914018415605757e-05,1,1,rbf,True,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-12.47001274979681,-11.7344612450231,-15.161334223858828,-12.311498685765377,-12.919326726111029,1.3230496782219487,21,-12.349042840348183,-12.624111208275263,-11.486341975157957,-12.359552602231284,-12.204762156503172,0.429173095034432
0.006909668445587158,7.308538186021501e-05,0.0027098655700683594,7.847865422164333e-05,1,1,rbf,False,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-12.47001274979681,-11.7344612450231,-15.161334223858828,-12.311498685765377,-12.919326726111029,1.3230496782219487,21,-12.349042840348183,-12.624111208275263,-11.486341975157957,-12.359552602231284,-12.204762156503172,0.429173095034432
0.019900798797607422,0.0012245626757961788,0.0014055371284484863,1.0970331620756365e-05,1,1,linear,True,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-9.318314785510035,-9.41017758308389,-9.9241393719483,-10.901277208249246,-9.888477237197868,0.6286675094310309,6,-6.6131328466290675,-6.58341705298487,-6.535543528554782,-6.172844719226161,-6.47623453684872,0.17733596428829052
0.05630618333816528,0.004408585243777089,0.0014095902442932129,2.69203901382851e-05,1,1,linear,False,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-9.318357128649811,-9.410083905164903,-9.92407878851831,-10.90112100816903,-9.888410207625514,0.6286119585395494,5,-6.613134116938218,-6.583389236803938,-6.535546026000395,-6.172768505770819,-6.476209471378342,0.17736481260499884
0.008276104927062988,0.00021515229304744252,0.0027589797973632812,9.356023205583577e-05,10,0.1,rbf,True,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-10.089251539466687,-8.512103060831532,-11.479759361386686,-10.28876799688776,-10.092470489643166,1.056015470613805,11,-6.074832325164268,-6.032932545779,-5.709058016091513,-5.665022452518399,-5.8704613348882955,0.184675771111617
0.00809401273727417,6.838424556125475e-05,0.0027618408203125,9.395945830506646e-05,10,0.1,rbf,False,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-10.089251539466687,-8.512103060831532,-11.479759361386686,-10.28876799688776,-10.092470489643166,1.056015470613805,11,-6.074832325164268,-6.032932545779,-5.709058016091513,-5.665022452518399,-5.8704613348882955,0.184675771111617
0.4467551112174988,0.1629783164192322,0.0014463067054748535,2.1756511829679517e-05,10,0.1,linear,True,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-9.202856178105545,-10.372055265029394,-11.141572450694909,-10.7236061461742,-10.360022510001011,0.7214901380402808,15,-6.199679570849305,-6.165922375617988,-6.193007570720941,-5.743672745533135,-6.0755705656803425,0.1920378269341824
1.1357671022415161,0.5808781454761053,0.0016449689865112305,0.0002987978642936763,10,0.1,linear,False,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-9.20365513304475,-10.371871079285526,-11.142034584953285,-10.723601436195564,-10.360290558369782,0.7212936525138403,16,-6.199631654181366,-6.165922235427224,-6.193003945502188,-5.7436691001658255,-6.07555673381915,0.19203109035250815
