,precision,recall,f1-score,support
Very Severe,1.0,0.06666666666666667,0.125,15.0
Severe,0.45714285714285713,0.4,0.4266666666666667,40.0
Moderate,0.5714285714285714,0.7887323943661971,0.6627218934911243,142.0
Mild,0.8636363636363636,0.7037037037037037,0.7755102040816326,189.0
accuracy,0.6787564766839378,0.6787564766839378,0.6787564766839378,0.6787564766839378
macro avg,0.7230519480519481,0.4897756911841419,0.4974746910598559,386.0
weighted avg,0.7193156584348294,0.6787564766839378,0.6725896479633027,386.0
