fold,mae,n_trials,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
1,11.86986749757011,50,8,0.02782433742562255,220,6,0.7192534865001408,0.671657224324168,5.633938058816308e-06,0.2149828911734251,6.528434266959536e-08
2,13.352923969122077,50,9,0.039447074368822256,268,1,0.6574881080746194,0.8364082128756515,4.1436206838563955e-08,0.1016072845720286,0.0026078259988356308
3,12.212250140927873,50,10,0.038445265072779025,300,4,0.6155797070766883,0.6873694520731493,0.19032865358844112,0.006256756517972978,1.138090654025618
4,11.717649365397332,50,7,0.19875477550106282,194,10,0.6367491144200987,0.63946032601322,4.4969107408365396e-07,0.00012308784644181247,8.894331649284682
