,precision,recall,f1-score,support
Very Severe,0.7333333333333333,0.5,0.5945945945945946,44.0
Severe,0.3142857142857143,0.2,0.24444444444444444,55.0
Moderate,0.5019157088122606,0.8397435897435898,0.6282973621103117,156.0
Mild,0.8494623655913979,0.4817073170731707,0.6147859922178989,164.0
accuracy,0.5799522673031027,0.5799522673031027,0.5799522673031027,0.5799522673031027
macro avg,0.5997492805056764,0.50536272670419,0.5205305983418125,419.0
weighted avg,0.6376206670264507,0.5799522673031027,0.5690832883521495,419.0
