Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,133,2.685774072301458,1.6833275298042143,70.0421052631579,16.029879105573304
High Errors,286,15.653688527410246,10.629617250753629,61.01223776223776,26.109683060846884
