,precision,recall,f1-score,support
Very Severe,0.5384615384615384,0.1590909090909091,0.24561403508771928,44.0
Severe,0.2222222222222222,0.2545454545454545,0.23728813559322035,55.0
Moderate,0.546875,0.6730769230769231,0.603448275862069,156.0
Mild,0.7549668874172185,0.6951219512195121,0.7238095238095238,164.0
accuracy,0.5727923627684964,0.5727923627684964,0.5727923627684964,0.5727923627684964
macro avg,0.5156314120252448,0.4454588094831997,0.45253999258813316,419.0
weighted avg,0.5848248196920137,0.5727923627684964,0.5649177993812206,419.0
