,precision,recall,f1-score,support
Very Severe,1.0,0.26666666666666666,0.42105263157894735,15.0
Severe,0.42857142857142855,0.375,0.4,40.0
Moderate,0.5344827586206896,0.6549295774647887,0.5886075949367089,142.0
Mild,0.7861271676300579,0.7195767195767195,0.7513812154696132,189.0
accuracy,0.6424870466321243,0.6424870466321243,0.6424870466321243,0.6424870466321243
macro avg,0.687295338705544,0.5040432409270437,0.5402603604963173,386.0
weighted avg,0.664812029919886,0.6424870466321243,0.6422516002032481,386.0
