,precision,recall,f1-score,support
Very Severe,1.0,0.8,0.8888888888888888,15.0
Severe,0.8571428571428571,0.75,0.8,40.0
Moderate,0.8137931034482758,0.8309859154929577,0.8222996515679443,142.0
Mild,0.8865979381443299,0.91005291005291,0.8981723237597912,189.0
accuracy,0.8601036269430051,0.8601036269430051,0.8601036269430051,0.8601036269430051
macro avg,0.8893834746838657,0.8227597063864669,0.8523402160541561,386.0
weighted avg,0.8611692883021965,0.8601036269430051,0.8597265622968445,386.0
