,precision,recall,f1-score,support
Very Severe,1.0,0.2727272727272727,0.42857142857142855,44.0
Severe,0.3559322033898305,0.38181818181818183,0.3684210526315789,55.0
Moderate,0.5631578947368421,0.6858974358974359,0.6184971098265896,156.0
Mild,0.759493670886076,0.7317073170731707,0.7453416149068323,164.0
accuracy,0.6205250596658711,0.6205250596658711,0.6205250596658711,0.6205250596658711
macro avg,0.6696459422531871,0.5180375518790152,0.5402078014841073,419.0
weighted avg,0.6586774816007268,0.6205250596658711,0.6153744026958189,419.0
