Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,150,2.4992680920716475,1.5451286873429972,67.048,20.015916066970306
High Errors,269,14.605697569518378,9.727443935628541,62.11115241635688,25.440769211585188
