Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,110,2.6424459642924982,1.521521783590036,65.78363636363638,18.545102403073862
High Errors,309,17.91890437970781,11.16818188485489,63.20032362459548,25.32478798779288
