,precision,recall,f1-score,support
Very Severe,1.0,0.11363636363636363,0.20408163265306123,44.0
Severe,0.2222222222222222,0.43636363636363634,0.294478527607362,55.0
Moderate,0.5102040816326531,0.4807692307692308,0.49504950495049505,156.0
Mild,0.6981132075471698,0.676829268292683,0.6873065015479877,164.0
accuracy,0.513126491646778,0.513126491646778,0.513126491646778,0.513126491646778
macro avg,0.6076348778505113,0.4268996247654784,0.4202290416897265,419.0
weighted avg,0.5973857398440381,0.513126491646778,0.5134174221510426,419.0
