mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,param_svr__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.023514699935913087,0.0033922586520559795,0.011229753494262695,0.00016020075110997857,0.1,0.01,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.76166811295285,-25.71273097592028,-14.085676221507487,-15.093993392191743,-23.137760819991165,-19.958365904512704,4.574358366155205,46
0.026728153228759766,0.0024010142652523356,0.01133732795715332,0.0008076392173681449,0.1,0.01,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.757051272087025,-25.710312890060777,-14.085082472841888,-15.092714382628984,-23.13140175414229,-19.955312554352194,4.572926766645806,45
0.026628637313842775,0.0019412088300402523,0.012827491760253907,0.0029716630595314764,0.1,0.1,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.74808339521477,-25.698393250174735,-14.083470470378469,-15.103081701602937,-23.097348314332024,-19.946075426340588,4.562710575269833,44
0.031323909759521484,0.0035854438896155342,0.009061145782470702,0.001892960480519112,0.1,0.1,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.741508523439542,-25.695941282325773,-14.082406054560106,-15.101245035214793,-23.08857723777181,-19.941935626662406,4.561025527958747,43
0.028227996826171876,0.0011152824751165644,0.007294082641601562,0.0010259266716825825,0.1,1.0,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.702892455963163,-25.681560960102765,-14.092015203934464,-15.102308189772613,-22.906875891229728,-19.897130540200546,4.527000417421354,42
0.02601633071899414,0.0046192349302534704,0.007319450378417969,0.002024390250624246,0.1,1.0,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.69988463065121,-25.678443131671646,-14.09117270051415,-15.099775992094077,-22.89997769113861,-19.89385082921394,4.525799198302299,41
0.02337331771850586,0.0073512753024562215,0.008217763900756837,0.003976256982784131,0.1,5.0,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 5, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.870883325313056,-25.751504148622097,-14.087913677212017,-14.996840077431653,-23.340053401505237,-20.00943892601681,4.641549085073375,48
0.014691352844238281,0.0013792966037381757,0.007912302017211914,0.0023918466160958683,0.1,5.0,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 5, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.867237441745605,-25.7497386660625,-14.086902650606177,-14.995585372210726,-23.336555280292917,-20.007203882183582,4.640846864117977,47
0.01717371940612793,0.002870677019649085,0.008884954452514648,0.0006559464292328244,0.1,10.0,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 10, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-21.68810843774162,-26.13928777304838,-14.082417046086965,-15.075194220706814,-23.94640768682937,-20.18628303288263,4.800264393281763,50
0.016894149780273437,0.003915839961359689,0.007762241363525391,0.0009174600134743671,0.1,10.0,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 10, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-21.68398546411064,-26.135162675718554,-14.081827769831746,-15.075512118117203,-23.942851366448924,-20.183867878845412,4.798508340290007,49
0.024151706695556642,0.004054850696764229,0.010040998458862305,0.0013417816444762887,1.0,0.01,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-20.673043213349256,-23.967312710435724,-13.295113341717789,-13.830652776266215,-19.45219927683686,-18.24366426372117,4.100863741127482,33
0.028220748901367186,0.0009054941096892376,0.011240196228027344,0.00023701111203681065,1.0,0.01,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-20.655552764246142,-23.965779310733904,-13.301000399956337,-13.829967633853412,-19.445326398405786,-18.239525301439116,4.096690298076675,32
0.024689626693725587,0.0014709593457180033,0.011325550079345704,0.00019662207771184304,1.0,0.1,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-20.67565949382617,-23.959037941320076,-13.297155454779546,-13.835277008945406,-19.41394321213347,-18.236214622200936,4.095148348720801,30
0.028624963760375977,0.0010061534249713405,0.009960317611694336,0.0018742028945890976,1.0,0.1,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-20.66198414253435,-23.961153133942513,-13.302887898196778,-13.833528693900877,-19.406712826953434,-18.233253339105595,4.092692436022194,29
0.025935649871826172,0.0018594145973168073,0.010155773162841797,0.002524320199543964,1.0,1.0,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-20.71192177189996,-23.892998503638392,-13.331326680852243,-13.814838148400986,-19.433592647988988,-18.23693555055611,4.078444236484608,31
