feature,importance
den_function_words,1.72936911943215
den_determiners,1.6739801974047988
den_prepositions,1.3690053382190819
lex_ttr,1.3127087140657756
den_light_verbs,0.6973296194907717
den_OCW,0.6954631862412518
den_verbs,0.6262635212556485
dys_short_pauses_per_min,0.6189932253591012
dys_fillers_per_phone,0.5944501277623273
dys_fillers_per_word,0.5657295406476555
dys_pause_sec_max,0.4252663431799952
dys_pauses_per_min,0.37570320386641876
den_W,0.34900606701253084
den_adjectives,0.3225360030445496
dys_pause_sec_p10,0.25788828069127767
dys_pause_sec_p90,0.23632302382216488
den_noun_ratio,0.2299403993703293
den_phones_utt_iqr,0.19005083942793113
den_words_utt_iqr,0.16802050640348523
dys_long_pauses_per_min,0.15987533996112008
dys_pause_sec_kurt,0.15492891630803834
dys_pause_sec_median,0.12202788097146652
dys_short_pauses_per_word,0.11749487210508226
den_nouns,0.11071996685294176
den_words_per_min,0.1042670178737517
den_pronoun_ratio,0.08114661451778707
dys_pause_sec_min,0.0769591723713429
dys_long_pauses_per_word,0.07604841245747154
den_phones_utt_q3,0.057975449698688855
den_words_utt_max,0.055482354865978245
den_words_utt_p90,0.05340920551689785
dys_pause_sec_q1,0.052484838347236384
den_phones_per_min,0.049846836121530465
dys_pause_sec_mean,0.04821969810154846
dys_pauses_per_word,0.04156621324814016
den_adverbs,0.04137237000941315
den_phones_utt_kurt,0.036292011766650964
dys_pause_sec_mad,0.03411738697197664
den_phones_utt_max,0.0340150255386391
dys_pause_sec_iqr,0.03218395235646137
den_words_utt_kurt,0.02934166710568868
dys_fillers_per_min,0.026160758238379375
den_words_utt_skew,0.0251522196847579
den_phones_utt_skew,0.02471500203633717
den_phones_utt_q1,0.018687544912352982
den_phones_utt_p90,0.018687374078971572
den_words_utt_q3,0.016924348245676804
dys_pause_sec_skew,0.015183653244045593
dys_pause_sec_q3,0.011495040833967279
den_words_utt_mad,0.011444451569160198
den_words_utt_median,0.010527286988868663
den_words_utt_p10,0.010290143919390891
den_words_utt_q1,0.010221297394399175
den_phones_utt_p10,0.009916096886380689
den_words_utt_std,0.009543978788049343
den_phones_utt_std,0.009196558190548007
den_phones_utt_mean,0.006253825651833414
den_phones_utt_median,0.0029363863287583053
den_demonstratives,0.0
den_words_utt_mean,0.0
den_words_utt_min,0.0
den_phones_utt_min,0.0
dys_pause_sec_std,0.0
den_nouns_per_verb,0.0
den_phones_utt_mad,0.0
