,precision,recall,f1-score,support
Very Severe,1.0,0.09090909090909091,0.16666666666666666,44.0
Severe,0.19298245614035087,0.2,0.19642857142857142,55.0
Moderate,0.45933014354066987,0.6153846153846154,0.5260273972602739,156.0
Mild,0.6912751677852349,0.6280487804878049,0.65814696485623,164.0
accuracy,0.5107398568019093,0.5107398568019093,0.5107398568019093,0.5107398568019093
macro avg,0.5858969418665638,0.3835856216953778,0.3868174000529355,419.0
weighted avg,0.5719299880592895,0.5107398568019093,0.49673814074207445,419.0
