,precision,recall,f1-score,support
Very Severe,0.8571428571428571,0.2727272727272727,0.41379310344827586,44.0
Severe,0.29850746268656714,0.36363636363636365,0.32786885245901637,55.0
Moderate,0.5051546391752577,0.6282051282051282,0.56,156.0
Mild,0.7430555555555556,0.6524390243902439,0.6948051948051948,164.0
accuracy,0.5656324582338902,0.5656324582338902,0.5656324582338902,0.5656324582338902
macro avg,0.6009651286400595,0.47925194723975206,0.49911678767812173,419.0
weighted avg,0.6081084271706402,0.5656324582338902,0.5669397025895513,419.0
