Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,127,2.436742064979288,1.557454038973978,69.53937007874018,17.45145418429382
High Errors,292,15.036337000852585,9.401972499290604,61.41643835616438,25.644444583566724
