group,sum,mean,count
DEN,6.81434108428415,0.16224621629247976,42
DYS,5.639570003606685,0.25634409107303113,22
LEX,3.7439213003057974,0.2674229500218427,14
POSLM,0.6062697772191211,0.020208992573970703,30
