,precision,recall,f1-score,support
Very Severe,0.875,0.3181818181818182,0.4666666666666667,44.0
Severe,0.3076923076923077,0.36363636363636365,0.3333333333333333,55.0
Moderate,0.5357142857142857,0.5769230769230769,0.5555555555555556,156.0
Mild,0.7352941176470589,0.7621951219512195,0.7485029940119761,164.0
accuracy,0.594272076372315,0.594272076372315,0.594272076372315,0.594272076372315
macro avg,0.6134251777634131,0.5052340951731196,0.5260146373918829,419.0
weighted avg,0.6195292142926566,0.594272076372315,0.5925723731534543,419.0
