,precision,recall,f1-score,support
Very Severe,0.0,0.0,0.0,44.0
Severe,0.2976190476190476,0.45454545454545453,0.3597122302158273,55.0
Moderate,0.5634517766497462,0.7115384615384616,0.6288951841359773,156.0
Mild,0.7857142857142857,0.6626506024096386,0.7189542483660131,166.0
accuracy,0.5843230403800475,0.5843230403800475,0.5843230403800475,0.5843230403800475
macro avg,0.41169627749576987,0.45718362962338865,0.4268904156794544,421.0
weighted avg,0.5574729126009013,0.5843230403800475,0.5635112271160122,421.0
