,precision,recall,f1-score,support
Very Severe,0.0,0.0,0.0,44.0
Severe,0.2702702702702703,0.18181818181818182,0.21739130434782608,55.0
Moderate,0.4840182648401826,0.6794871794871795,0.5653333333333334,156.0
Mild,0.6932515337423313,0.6807228915662651,0.6869300911854104,166.0
accuracy,0.5439429928741093,0.5439429928741093,0.5439429928741093,0.5439429928741093
macro avg,0.36188501721319605,0.3855070632179066,0.36741368221664245,421.0
weighted avg,0.488008239385179,0.5439429928741093,0.5087385198952697,421.0
