mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__kernel,param_svr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012551498413085938,0.0025990932341652096,0.004085922241210937,0.0007128930264048352,1,0.1,rbf,True,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-20.546107482303714,-23.95160895407966,-13.197753236880974,-13.920065357109095,-19.21842367887633,-18.166791741849956,4.073259430809004,11
0.011532449722290039,0.0009905536808743664,0.0033556938171386717,0.000509856208782482,1,0.1,rbf,False,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-20.546107482303714,-23.95160895407966,-13.197753236880974,-13.920065357109095,-19.21842367887633,-18.166791741849956,4.073259430809004,11
0.020885419845581055,0.001631459571275259,0.0015370368957519532,9.122574048596316e-05,1,0.1,linear,True,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-874870.5265457585,-23.88530871768463,-13.158710588856351,-11.997684186266374,-14.964880229391593,-174986.90662589617,349941.80998488993,24
0.0606956958770752,0.02536236024666308,0.0016179084777832031,0.00016648371781997914,1,0.1,linear,False,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-874865.4028614446,-23.885266582316387,-13.15855917789286,-11.99781633212452,-14.964880229391593,-174985.8818767533,349939.7605173043,23
0.010719490051269532,0.0010394184093978456,0.0030106544494628907,0.00025029911441982154,1,1,rbf,True,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-20.555230769338984,-23.868964501940223,-13.215882362298272,-13.912662356186493,-19.234622348026335,-18.15747246755806,4.048910066859149,9
0.011218500137329102,0.0010515718661563618,0.003074455261230469,0.00029704442078681874,1,1,rbf,False,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-20.555230769338984,-23.868964501940223,-13.215882362298272,-13.912662356186493,-19.234622348026335,-18.15747246755806,4.048910066859149,9
0.02060279846191406,0.0018701614718261111,0.001558685302734375,0.00010835358253729733,1,1,linear,True,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-843584.6429839603,-23.761315844324102,-13.200011185914052,-12.09294453912689,-14.85288860770666,-168729.71002882748,337427.46650265524,19
0.07449102401733398,0.007682962916631436,0.0016674041748046876,0.00020679359395256162,1,1,linear,False,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-843587.564219271,-23.761315844324102,-13.200011185914052,-12.092944539126886,-14.85283443723224,-168730.29426505553,337428.63500219653,20
0.01620473861694336,0.0019215262905570752,0.0037333011627197266,0.0001827585390770505,10,0.1,rbf,True,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-19.272849858618535,-21.99715625750611,-12.414932688047106,-12.205213665127623,-15.2070995292046,-16.219450399700797,3.8553453567615623,1
0.017005348205566408,0.001281732476879783,0.003960037231445312,0.0005202574551866876,10,0.1,rbf,False,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-19.272849858618535,-21.99715625750611,-12.414932688047106,-12.205213665127623,-15.2070995292046,-16.219450399700797,3.8553453567615623,1
0.15342750549316406,0.03657545040530496,0.0017580509185791016,0.0002748004889159009,10,0.1,linear,True,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-848931.6824058847,-24.112614642672042,-13.626405398226531,-12.152073911960679,-15.175554489504549,-169799.34981086542,339566.1663230276,22
0.7164988040924072,0.29283584313615196,0.0019550323486328125,7.881369615787673e-05,10,0.1,linear,False,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-848866.9122216977,-24.11243371837953,-13.62678865974205,-12.152052724181937,-15.175076664310277,-169786.39571469286,339540.25827902125,21
0.014440536499023438,0.00175306574574991,0.0031040191650390627,0.000389600657283605,10,1,rbf,True,"{'svr__C': 10, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-19.340141139842427,-21.9858878547365,-12.397049870977792,-12.25785307872636,-15.505473958733932,-16.2972811806034,3.841223371790666,3
0.012978267669677735,0.0006116881190617628,0.002979421615600586,0.00020659734647961669,10,1,rbf,False,"{'svr__C': 10, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-19.340141139842427,-21.9858878547365,-12.397049870977792,-12.25785307872636,-15.505473958733932,-16.2972811806034,3.841223371790666,3
0.19096341133117675,0.07084863483822845,0.0014342784881591797,4.795507466105554e-05,10,1,linear,True,"{'svr__C': 10, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-828130.7959958584,-23.898486565592023,-13.223993056620614,-12.266680161835717,-15.189839339647246,-165639.0749989964,331245.86052397167,17
0.9693663120269775,0.43641364383164616,0.0017008304595947266,0.00014340812329392198,10,1,linear,False,"{'svr__C': 10, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-828174.6307127813,-23.898480373623674,-13.224030239444998,-12.266714610550753,-15.189935648843711,-165647.84197473075,331263.39439456444,18
