,precision,recall,f1-score,support
Very Severe,1.0,0.06818181818181818,0.1276595744680851,44.0
Severe,0.2962962962962963,0.2909090909090909,0.29357798165137616,55.0
Moderate,0.6276595744680851,0.7564102564102564,0.686046511627907,156.0
Mild,0.7613636363636364,0.8072289156626506,0.783625730994152,166.0
accuracy,0.6437054631828979,0.6437054631828979,0.6437054631828979,0.6437054631828979
macro avg,0.6713298767820044,0.48068252029095404,0.47272744968538005,421.0
weighted avg,0.6760036901417605,0.6437054631828979,0.6148905877111738,421.0
