,precision,recall,f1-score,support
Very Severe,0.0,0.0,0.0,44.0
Severe,0.25,0.36363636363636365,0.2962962962962963,55.0
Moderate,0.4845360824742268,0.6025641025641025,0.5371428571428571,156.0
Mild,0.7074829931972789,0.6265060240963856,0.6645367412140575,166.0
accuracy,0.517814726840855,0.517814726840855,0.517814726840855,0.517814726840855
macro avg,0.3605047689178764,0.39817662257421294,0.3744939736633027,421.0
weighted avg,0.49116343405398494,0.517814726840855,0.499771213900512,421.0
