mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__kernel,param_svr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.009614408016204834,0.0013413979355030557,0.003163456916809082,0.00027044605106502084,1,0.1,rbf,True,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-15.315870662455447,-14.26063608776384,-13.210611314382655,-15.912158800440604,-14.674819216260637,1.0316744456344293,23,-13.942346839221171,-14.179834582761075,-14.636448865284471,-13.909675093375443,-14.16707634516054,0.29035843819943047
0.008712351322174072,3.7906820254592336e-05,0.0030010342597961426,4.813528076501094e-05,1,0.1,rbf,False,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-15.315870662455447,-14.26063608776384,-13.210611314382655,-15.912158800440604,-14.674819216260637,1.0316744456344293,23,-13.942346839221171,-14.179834582761075,-14.636448865284471,-13.909675093375443,-14.16707634516054,0.29035843819943047
0.013049304485321045,0.0010829748240576739,0.001849532127380371,0.00014551636322448133,1,0.1,linear,True,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-13.879932583602589,-13.196976761254351,-13.911358703335875,-13.938617523718058,-13.731721392977718,0.3094325251050047,11,-12.757618867272624,-12.884180407122667,-12.69701827282742,-12.65722175387752,-12.749009825275058,0.08583905489043442
0.025461018085479736,0.009440429942026726,0.001770615577697754,5.7615589778185744e-05,1,0.1,linear,False,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-13.880044191255143,-13.196976761254351,-13.911358703335875,-13.938640609587932,-13.731755066358325,0.309449751407848,12,-12.757626123729832,-12.884180407122667,-12.69701827282742,-12.657224524756556,-12.74901233210912,0.08583849615430907
0.008055269718170166,9.539370994321413e-05,0.002846062183380127,4.1716225918163346e-05,1,1,rbf,True,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-15.301151452280736,-14.255266471279771,-13.193066325429117,-15.893554751720862,-14.660759750177622,1.0305864636499267,21,-13.966209917471573,-14.220476697990225,-14.614084522143433,-13.917779242513319,-14.179637595029638,0.27592260470086266
0.007821202278137207,0.00017897451660730382,0.0028063058853149414,6.269762691254321e-05,1,1,rbf,False,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-15.301151452280736,-14.255266471279771,-13.193066325429117,-15.893554751720862,-14.660759750177622,1.0305864636499267,21,-13.966209917471573,-14.220476697990225,-14.614084522143433,-13.917779242513319,-14.179637595029638,0.27592260470086266
0.011652886867523193,0.0008242626201300963,0.0017123818397521973,0.00020157535656983917,1,1,linear,True,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-13.888229329244071,-13.270106330449199,-13.737176378886186,-13.82261041745229,-13.679530614007936,0.24237278213058094,9,-12.776567112680903,-12.896508845948125,-12.736667985252694,-12.691351978847894,-12.775273980682403,0.07621169533180785
0.01562279462814331,0.0013021739793634627,0.0015659332275390625,9.08662595234829e-05,1,1,linear,False,"{'svr__C': 1, 'svr__epsilon': 1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-13.88824692976949,-13.270106330449197,-13.737176378886184,-13.82261041745229,-13.67953501413929,0.2423765710198143,10,-12.776562426544658,-12.896508845948125,-12.736667985252694,-12.691351978847896,-12.775272809148344,0.07621167548065941
0.01234811544418335,0.0002596249357699367,0.0033748745918273926,4.140747156298714e-05,10,0.1,rbf,True,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': True}",-12.902640972220459,-13.12867647618605,-12.26169068677844,-13.319736975807968,-12.90318627774823,0.39870954473067893,3,-10.44900902048256,-10.044759662941457,-10.19360059262239,-10.136412452578305,-10.205945432156177,0.1500399867364779
0.012370169162750244,0.00011183882067243701,0.003390669822692871,4.909961330245905e-05,10,0.1,rbf,False,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'rbf', 'svr__shrinking': False}",-12.902640972220459,-13.12867647618605,-12.26169068677844,-13.319736975807968,-12.90318627774823,0.39870954473067893,3,-10.44900902048256,-10.044759662941457,-10.19360059262239,-10.136412452578305,-10.205945432156177,0.1500399867364779
0.04654330015182495,0.012652833389787765,0.002055823802947998,2.4394179397663802e-05,10,0.1,linear,True,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': True}",-13.74515246912363,-13.758728326457348,-14.467275403873396,-13.952193875393734,-13.980837518712026,0.2925415399162664,19,-12.710834277920968,-12.753432081805343,-12.600790643796133,-12.576005084615042,-12.66026552203437,0.0739497961238336
0.3239282965660095,0.12853262834094953,0.002525925636291504,0.00031690127671030524,10,0.1,linear,False,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__kernel': 'linear', 'svr__shrinking': False}",-13.745160088219075,-13.7586719801002,-14.467395584214897,-13.952136367594177,-13.980841005032088,0.2926020697650695,20,-12.71083041007423,-12.753430068924699,-12.600793529353853,-12.576005703113653,-12.660264927866608,0.07394774455028233
