,precision,recall,f1-score,support
Very Severe,0.8461538461538461,0.25,0.38596491228070173,44.0
Severe,0.30357142857142855,0.3090909090909091,0.3063063063063063,55.0
Moderate,0.5627906976744186,0.7756410256410257,0.6522911051212938,156.0
Mild,0.8074074074074075,0.6646341463414634,0.7290969899665551,164.0
accuracy,0.6157517899761337,0.6157517899761337,0.6157517899761337,0.6157517899761337
macro avg,0.6299808449517752,0.4998415202683495,0.5184148284187142,419.0
weighted avg,0.6542657791270213,0.6157517899761337,0.6089704576148798,419.0
