Group,N,MAE_mean,MAE_std,QA_mean,QA_std
Low Errors,131,2.441974130619169,1.4398705682512198,67.13282442748093,20.116881531613206
High Errors,288,15.492061712060181,10.661659009602152,62.39826388888889,25.10502724195398
