fold,mae,n_trials,iterations,learning_rate,depth,l2_leaf_reg,border_count,bagging_temperature
1,11.966907322666007,50,141,0.18267364434842043,6,6.40775638491965e-07,124,0.4622260566991193
2,12.81667923793026,50,244,0.08147636391485065,5,6.218220818878637e-06,178,0.05943543964742226
3,11.902403933169753,50,202,0.11690791209705287,4,4.304370572495033e-08,142,0.028782577196797887
4,11.744617687927757,50,138,0.2258196652785006,5,0.00040512661986774774,94,0.421939856442781
