feature,importance_mean,importance_std
den_nouns,2.628877928760767,0.09133889878285334
den_light_verbs,1.9427696997386927,0.09258287076275624
lex_fam_skew,1.6682253127327709,0.057049105723460836
lex_fam_iqr12,1.5333417796753934,0.08098426916861157
den_adjectives,1.5078233135584989,0.05460768420516553
lex_phones_p99,1.4779512660924747,0.08159548554803467
lex_phones_std,1.4761217145761483,0.06406960135130034
lex_phones_range01_99,1.410152212940456,0.08098971317229639
den_demonstratives,1.344854333370892,0.05522179711434747
lex_fam_iqr23,1.334626236125772,0.037173674168754924
den_nouns_per_verb,1.3314418755800674,0.057518716536471406
den_OCW,1.205261446622797,0.050374306252698314
lex_img_skew,1.136640662082264,0.0547095160496541
den_noun_ratio,1.0742667865719533,0.045783774974654745
den_adverbs,0.9783092232049484,0.028724444561194832
den_words_utt_std,0.9765909980856966,0.04948059429990976
lex_freq_p99,0.9622910563012118,0.03859633145776893
den_prepositions,0.9378130860777961,0.03507521753129054
lex_freq_std,0.9328576152610705,0.05244128301142027
lex_aoa_std,0.9175341048387399,0.060908533352274134
lex_img_std,0.8863646487714647,0.03156247113013375
den_words_per_min,0.8742306028333676,0.03170521353239285
lex_ttr,0.8540101453069824,0.05118478033738032
lex_img_iqr23,0.73501539549807,0.0335706766374244
den_words_utt_iqr12,0.7106303601371453,0.04684851905793263
lex_freq_q2,0.7091743756362611,0.03951555447978104
lex_fam_q2,0.6948527106820593,0.03471097575540058
lex_aoa_range01_99,0.6834348426900285,0.03866784983912191
lex_freq_iqr12,0.6811370426164279,0.033628672893603793
lex_aoa_skew,0.6698757561377178,0.04411964857536346
lex_aoa_iqr23,0.6482300606041236,0.04237816888197621
lex_phones_mean,0.6441489773230321,0.04788271402900273
lex_freq_mean,0.6381839264815707,0.03289412597997814
lex_img_p99,0.6174131468214077,0.03257695709794829
lex_fam_kurt,0.6098993708524013,0.032056868923488586
lex_aoa_p99,0.5961671304541364,0.0192902026468259
den_words_utt_q2,0.5958267349354501,0.021772963556324427
lex_phones_kurt,0.5896779848919416,0.023740778392093147
lex_freq_range01_99,0.5882374320779323,0.03983886980816187
den_words_utt_q1,0.5881868332994442,0.03235972924332941
lex_img_iqr12,0.5831644454217779,0.03856041681352598
den_verbs,0.5803010056211192,0.03109498762794491
lex_img_q2,0.5739430217637769,0.04042145793906188
lex_aoa_kurt,0.5733777422940436,0.04527120449408468
den_words_utt_skew,0.5558608243206453,0.02849228174021767
den_words_utt_q3,0.5477913717499722,0.026592566849279162
den_determiners,0.5447305907779567,0.03072565376865257
lex_aoa_p01,0.5422261393164227,0.019242429469766918
lex_phones_skew,0.5287150552252727,0.02245952959991756
lex_aoa_q3,0.5243666075066702,0.010437903336756739
den_words_utt_iqr13,0.5180503870367031,0.033887642238555095
lex_aoa_iqr12,0.5130860908728231,0.045283801651478196
dys_pause_sec_iqr23,0.5066618972969497,0.02834492493044633
lex_aoa_mean,0.5013266643598875,0.022763499900807775
lex_img_mean,0.4986488030792743,0.021693855492744264
lex_aoa_q2,0.48752109403778754,0.02456962967748576
den_words_utt_iqr23,0.48597641636893896,0.038553124036404
den_function_words,0.4745582521355076,0.02154479603849619
lex_freq_skew,0.46788809457407987,0.02381966582271184
lex_img_kurt,0.46404854201690304,0.02209413351414916
lex_freq_q3,0.46238018567601263,0.020346192864600668
lex_aoa_iqr13,0.4589201727655694,0.02733527302815421
lex_fam_iqr13,0.45527499871571686,0.02316717178063724
lex_fam_range01_99,0.4479597765137571,0.008419128778088205
lex_fam_q1,0.4354414589795882,0.015416282882629596
lex_fam_p99,0.4340534568889831,0.027590190174839078
lex_freq_p01,0.4335042627105901,0.024386099509540144
lex_phones_iqr23,0.4296464212971182,0.024094158931456836
lex_fam_q3,0.42405366308240344,0.023245748072256555
den_words_utt_kurt,0.4198278860962371,0.022217503655142076
den_W,0.41086652883588864,0.03378930273100427
lex_fam_p01,0.4085109457340076,0.013576696330081479
lex_aoa_q1,0.40277139869930745,0.02231479100526783
lex_freq_kurt,0.4022269746421837,0.020409118814414314
lex_fam_mean,0.4001800097703529,0.020565447372674513
lex_freq_iqr13,0.39959878845484503,0.019038897304761992
lex_fam_std,0.39607900858515566,0.02010253751997426
lex_freq_iqr23,0.3778414394694921,0.030233226515901847
lex_img_q1,0.37457601169432747,0.02038121943944305
lex_phones_q3,0.3708490095923354,0.02535504222104248
lex_phones_iqr13,0.37007016350876165,0.025662144229653
lex_img_q3,0.3680474293656687,0.023444155582615894
dys_pause_sec_mean,0.3658662679465564,0.03267598924208652
lex_phones_iqr12,0.35739493053994176,0.025831132293594457
lex_phones_q2,0.3568817604212649,0.028891608954527123
den_words_utt_mean,0.35401642322086735,0.02620798790754182
lex_freq_q1,0.34197658176352475,0.017014200709106957
lex_img_p01,0.3419730673205635,0.016577399960222637
den_words_utt_p99,0.340559987842686,0.02979431525519537
den_words_utt_range01_99,0.3401782386970642,0.02971490712418915
lex_img_range01_99,0.33971869837383095,0.024279452407464718
dys_pause_sec_iqr13,0.33784727270653087,0.0224180399454419
den_pronoun_ratio,0.3250972074136703,0.021985615776505943
dys_pause_sec_kurt,0.31919393809114827,0.035212246648252434
dys_pause_sec_skew,0.31833081754151554,0.037058041300566134
dys_pause_sec_q3,0.3163753685867651,0.02254291529384208
dys_pause_sec_std,0.3092148683794028,0.02234866624505859
dys_pause_sec_iqr12,0.3035535009086008,0.02779214133419854
lex_img_iqr13,0.28696779820408624,0.01740733564020973
dys_short_pauses_per_min,0.28418259788787015,0.0213715383680419
