den_words_per_min,den_W,den_OCW,den_words_utt_q1,den_words_utt_q2,den_words_utt_q3,den_words_utt_iqr12,den_words_utt_iqr23,den_words_utt_iqr13,den_words_utt_p01,den_words_utt_p99,den_words_utt_range01_99,den_words_utt_mean,den_words_utt_std,den_words_utt_skew,den_words_utt_kurt,den_nouns,den_verbs,den_nouns_per_verb,den_noun_ratio,den_light_verbs,den_determiners,den_demonstratives,den_prepositions,den_adjectives,den_adverbs,den_pronoun_ratio,den_function_words,dys_fillers_per_min,dys_fillers_per_word,dys_fillers_per_phone,dys_pauses_per_min,dys_long_pauses_per_min,dys_short_pauses_per_min,dys_pauses_per_word,dys_long_pauses_per_word,dys_short_pauses_per_word,dys_pause_sec_q1,dys_pause_sec_q2,dys_pause_sec_q3,dys_pause_sec_iqr12,dys_pause_sec_iqr23,dys_pause_sec_iqr13,dys_pause_sec_p01,dys_pause_sec_p99,dys_pause_sec_range01_99,dys_pause_sec_mean,dys_pause_sec_std,dys_pause_sec_skew,dys_pause_sec_kurt,lex_ttr,lex_freq_q1,lex_freq_q2,lex_freq_q3,lex_freq_iqr12,lex_freq_iqr23,lex_freq_iqr13,lex_freq_p01,lex_freq_p99,lex_freq_range01_99,lex_freq_mean,lex_freq_std,lex_freq_skew,lex_freq_kurt,lex_img_q1,lex_img_q2,lex_img_q3,lex_img_iqr12,lex_img_iqr23,lex_img_iqr13,lex_img_p01,lex_img_p99,lex_img_range01_99,lex_img_mean,lex_img_std,lex_img_skew,lex_img_kurt,lex_aoa_q1,lex_aoa_q2,lex_aoa_q3,lex_aoa_iqr12,lex_aoa_iqr23,lex_aoa_iqr13,lex_aoa_p01,lex_aoa_p99,lex_aoa_range01_99,lex_aoa_mean,lex_aoa_std,lex_aoa_skew,lex_aoa_kurt,lex_fam_q1,lex_fam_q2,lex_fam_q3,lex_fam_iqr12,lex_fam_iqr23,lex_fam_iqr13,lex_fam_p01,lex_fam_p99,lex_fam_range01_99,lex_fam_mean,lex_fam_std,lex_fam_skew,lex_fam_kurt,lex_phones_q1,lex_phones_q2,lex_phones_q3,lex_phones_iqr12,lex_phones_iqr23,lex_phones_iqr13,lex_phones_p01,lex_phones_p99,lex_phones_range01_99,lex_phones_mean,lex_phones_std,lex_phones_skew,lex_phones_kurt
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159622696902453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1059086342058357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7593327291904626,0.0,1.5017959970653967,0.0,0.0,0.0,0.0,2.0996335383604503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3418854250194974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805366311736081,0.0,1.7648532869174502,0.0,0.0,0.0,0.0,0.0,2.293622287159158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5669255191902407,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.7604556236532407,0.0,2.1004793281485954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.380416337459553,0.0,0.0,0.0,0.0,1.5674243451716692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6575053511297637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6534376274508527,0.0,0.0,0.0,0.0,0.0,0.0,1.644645293808523,0.0,0.0,1.949108208687157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.362172209383683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923494503830591,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250502899764791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42771017159109,1.7199229868637183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.878817178315101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179590079717658,0.0,2.3172845952058485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.432775689136581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.627435999761426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5137222147405116,2.251567850032593,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.7083474579380966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8088747755249075,0.0,1.6992596714652137,0.0,0.0,0.0,0.7336173218026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.333943677684093,0.0,-3.1727571726177515,2.140140258600281,1.0905811485444874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150334438764591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096973536145211,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085573882513895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2963192145833524,0.5636634548407974,-1.8173474512243628,0.0,0.6292239177894652,0.7932767372907844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47297703614658393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537039415430928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34488951316963895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629978884372091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6602996194136157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2342734271796199,0.0,2.485631642047837,0.0,0.0,0.0,0.0,0.0,0.0,0.7744107094033699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1461716872467156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8566955907377776,0.8619531286167269,0.0,1.0070416804531195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021009455279682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7702078843923688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.347589844272007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8321961717635418,0.0,-2.3014986637770276,0.0,-2.6223308276290402,0.0,0.0,0.0,0.0,-4.887411952332925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7412278626500841,0.0,0.0,0.0,0.0,0.0,0.0,-1.3670410912703008,0.0,-1.0579253814471983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.312519800156794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4317678095229533,0.0,0.0
-1.4000258554481633,0.0,0.9030727594368801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8185485994387871,0.0,0.0,3.630985614879416,0.0,0.0,1.517213982146324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8831977316792892,0.0,0.0,0.0,0.0,0.0,-2.450981533084561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6561497116827554,0.0,0.0,0.0,0.0,0.0,1.4449123667397108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5043826584518412,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4061228126027898,0.0,0.0,-3.5006532355783904,0.0,0.0,-1.517166872196593,0.0,0.0,-4.6683030954553875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5570900515795709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48759663361110483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9333338096765145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9511510992884438,-0.8092201055112608,0.0,-2.87046724782355,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1421219624390617,0.0,0.0,-3.2910031760759426,0.0,0.0,-1.1995155512402491,0.0,-2.5270963763285152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3063465473901026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.583477563102605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2049212899672206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7047334302240624,-1.505161273780377,0.0,-3.436571839199616,0.0,0.0
0.0,0.0,2.454097698979918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4836477608557293,0.0,-1.5926184849373777,0.0,0.0,0.0,0.0,-1.0815631176337968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22587476310717058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5674644133608274,0.0,-0.37775743431778475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5626267325743719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5423731016613835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8211616630805643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-5.212496125864963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4936597450128417,0.0,-3.1247308351229353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.870692296189365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.06134750149118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0072463669005822,0.0,-3.4590825399665186,-3.1905944250298566,0.0,0.0,-2.3795726158561012,0.0,0.0,-2.7017970654839654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.809555397638551,0.0,0.0,-2.05251761859724,0.0,0.0,0.0,0.0,-1.9887552161562436,-2.0393857735096246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.205740101468276,-2.7361122598031455,0.0,-1.9875962993078562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.371791427043509,-4.98807381110893,0.0,-4.121197279566116,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9027425485430278,0.0,-1.7928301206204742,0.0,0.0,-1.0179644940534027,0.0,0.0,0.0,0.0,0.0,-1.7613705582886023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8974385716850926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8729493856333707,0.0,0.0,-1.4486886164437223,0.0,0.0,0.0,0.0,0.0,-1.4912398875807453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1287138463214808,0.0,0.0,-3.2869931603324827,0.0,0.0
